postal_prefix,population
CH43 4,2669
CH43 5,2969
CH43 6,1592
CH43 7,6595
CH43 8,1568
CH43 9,7876
CH44 0,3329
CH44 1,2703
CH44 2,2938
CH44 3,2282
CH44 4,4186
CH44 5,3299
CH44 6,2544
CH44 7,1962
CH44 8,2684
CH44 9,3419
CH45 0,1762
CH45 1,2959
CH45 2,2395
CH45 3,2754
CH45 4,3632
CH45 5,4511
CH45 6,2424
CH45 7,3730
CH45 8,4032
CH45 9,1979
CH46 0,3835
CH46 1,3449
CH46 2,2479
CH46 3,1909
CH46 4,69
CH46 5,538
CH46 6,5057
CH46 7,2623
CH46 8,2582
CH46 9,2745
CH47 0,1134
CH47 1,646
CH47 2,2185
CH47 3,2107
CH47 4,770
CH47 5,832
CH47 6,723
CH47 7,1031
CH47 8,405
CH47 9,986
CH48 0,1213
CH48 1,1246
CH48 2,1169
CH48 3,1544
CH48 4,1308
CH48 5,2216
CH48 6,2179
CH48 7,995
CH48 8,1162
CH48 9,1897
CH49 0,2094
CH49 1,2433
CH49 2,3670
CH49 3,3138
CH49 4,5517
CH49 5,1478
CH49 6,3728
CH49 7,2556
CH49 8,2348
CH49 9,2606
CH5 1,8172
CH5 2,7196
CH5 3,10326
CH5 4,16648
CH6 5,13949
CH6 6,3746
CH60 0,1015
CH60 1,1780
CH60 2,1346
CH60 3,1126
CH60 4,968
CH60 5,1735
CH60 6,1250
CH60 7,1388
CH60 8,1183
CH60 9,1261
CH61 0,512
CH61 1,1371
CH61 2,657
CH61 3,1631
CH61 4,2601
CH61 5,2180
CH61 6,2331
CH61 7,1628
CH61 8,2208
CH61 9,2002
CH62 0,1428
CH62 1,3113
CH62 2,3104
CH62 3,1524
CH62 4,3216
CH62 5,2560
CH62 6,3186
CH62 7,3676
CH62 8,5218
CH62 9,3286
CH63 0,4347
CH63 1,455
CH63 2,4662
CH63 3,4319
CH63 4,304
CH63 5,4342
CH63 6,270
CH63 7,3460
CH63 8,2922
CH63 9,4278
CH64 0,2703
CH64 1,1316
CH64 2,1291
CH64 3,2366
CH64 4,2315
CH64 5,795
CH64 6,2947
CH64 7,408
CH64 8,262
CH64 9,4784
CH65 0,1002
CH65 1,67
CH65 2,2846
CH65 3,1959
CH65 4,2192
CH65 5,4517
CH65 6,3447
CH65 7,4099
CH65 8,4840
CH65 9,5601
CH66 0,84
CH66 1,7463
CH66 2,12210
CH66 3,5694
CH66 4,8956
CH66 5,717
CH66 6,298
CH66 7,357
CH66 8,76
CH66 9,62
CH7 1,9908
CH7 2,8579
CH7 3,7406
CH7 4,6308
CH7 5,6591
CH7 6,11662
CH8 7,9319
CH8 8,5885
CH8 9,5586
CM0 7,9037
CM0 8,8863
CM1 1,6263
CM1 2,16431
CM1 3,8481
CM1 4,13552
CM1 6,15497
CM1 7,9203
CM11 1,7416
CM11 2,11643
CM12 0,12531
CM12 9,8130
CM13 1,8604
CM13 2,10364
CM13 3,6389
CM14 4,12207
CM14 5,9184
CM15 0,8863
CM15 8,5724
CM15 9,9363
CM16 4,4376
CM16 5,3864
CM16 6,8642
CM16 7,7047
CM17 0,8916
CM17 9,16991
CM18 6,13683
CM18 7,12330
CM19 4,11834
CM19 5,8994
CM2 0,6897
CM2 5,26
CM2 6,15659
CM2 7,8398
CM2 8,15138
CM2 9,14924
CM20 1,8194
CM20 2,5998
CM20 3,11736
CM21 0,4306
CM21 1,1
CM21 9,7081
CM22 6,9353
CM22 7,6781
CM23 1,2097
CM23 2,9500
CM23 3,10596
CM23 4,12428
CM23 5,9236
CM24 1,19
CM24 8,8696
CM3 1,5890
CM3 2,5179
CM3 3,6831
CM3 4,9355
CM3 5,14331
CM3 6,9994
CM3 7,1612
CM3 8,2933
CM4 0,4763
CM4 9,5650
CM5 0,5934
CM5 9,5850
CM6 1,13949
CM6 2,6757
CM6 3,8553
CM6 4,726
CM7 1,9786
CM7 2,6539
CM7 3,11085
CM7 4,4281
CM7 5,9555
CM7 9,9729
CM77 6,2835
CM77 7,7126
CM77 8,5919
CM8 1,15116
CM8 2,13218
CM8 3,7333
CM9 4,9539
CM9 5,4354
CM9 6,11942
CM9 8,9526
CM99 2,1
CO1 1,5694
CO1 2,12341
CO10 0,14680
CO10 1,8779
CO10 2,4569
CO10 5,2694
CO10 7,6931
CO10 8,5836
CO10 9,6820
CO11 1,5617
CO11 2,8348
CO12 3,7635
CO12 4,11701
CO12 5,4124
CO13 0,8694
CO13 9,4133
CO14 8,7178
CO15 1,7204
CO15 2,6834
CO15 3,9713
CO15 4,8446
CO15 5,7048
CO15 6,5756
CO16 0,3152
CO16 7,4694
CO16 8,12627
CO16 9,6089
CO2 0,4614
CO2 7,11716
CO2 8,14377
CO2 9,10204
CO3 0,8599
CO3 3,8171
CO3 4,6810
CO3 8,3763
CO3 9,5497
CO4 0,7538
CO4 3,16753
CO4 5,16558
CO4 6,3151
CO4 9,9273
CO5 0,10315
CO5 7,5109
CO5 8,7515
CO5 9,6562
CO6 1,9750
CO6 2,6569
CO6 3,5942
CO6 4,6017
CO6 5,700
CO7 0,8680
CO7 6,6011
CO7 7,5923
CO7 8,6791
CO7 9,7617
CO8 5,2406
CO9 1,9893
CO9 2,7180
CO9 3,6409
CO9 4,4339
CR0 0,18072
CR0 1,11058
CR0 2,25634
CR0 3,20009
CR0 4,19767
CR0 5,11412
CR0 6,23284
CR0 7,16456
CR0 8,12871
CR0 9,11743
CR2 0,11057
CR2 6,11798
CR2 7,8928
CR2 8,11463
CR2 9,7116
CR3 0,4692
CR3 5,13828
CR3 6,9912
CR3 7,2583
CR4 1,19340
CR4 2,14237
CR4 3,20570
CR4 4,10740
CR5 1,10441
CR5 2,10146
CR5 3,11376
CR6 9,10322
CR7 6,9601
CR7 7,18341
CR7 8,19009
CR8 1,5136
CR8 2,8548
CR8 3,5210
CR8 4,6333
CR8 5,8144
CR9 3,90
CR9 4,4
CR9 5,220
CT1 1,14327
CT1 2,5182
CT1 3,12620
CT10 1,7482
CT10 2,10409
CT10 3,7270
CT11 0,7826
CT11 7,9181
CT11 8,5893
CT11 9,7072
CT12 4,4025
CT12 5,3251
CT12 6,11795
CT13 0,5902
CT13 9,2609
CT14 0,3401
CT14 6,4945
CT14 7,8785
CT14 8,2401
CT14 9,16000
CT15 4,3551
CT15 5,3212
CT15 6,2614
CT15 7,3984
CT16 1,4093
CT16 2,10614
CT16 3,6386
CT17 0,12546
CT17 9,9732
CT18 7,11467
CT18 8,3426
CT19 4,8817
CT19 5,10863
CT19 6,8620
CT2 0,6228
CT2 7,14187
CT2 8,7734
CT2 9,4182
CT20 1,6821
CT20 2,7559
CT20 3,9394
CT21 4,4983
CT21 5,6449
CT21 6,6165
CT3 1,6396
CT3 2,3313
CT3 3,6900
CT3 4,4046
CT4 5,4102
CT4 6,5008
CT4 7,6102
CT4 8,1975
CT5 1,7402
CT5 2,7874
CT5 3,7563
CT5 4,10326
CT6 5,8246
