name,population
ANNALISE,36
ANNAYAH,3
ANNAYS,3
ANNE,20
ANNE-MARIE,8
ANNEKA,3
ANNELI,3
ANNELIE,6
ANNELIESE,9
ANNELISE,11
ANNEMARIE,3
ANNETTA,3
ANNETTE,4
ANNI,15
ANNIE,457
ANNIE-MAE,7
ANNIE-MAY,6
ANNIE-ROSE,12
ANNIKA,21
ANNIYAH,4
ANNMARIE,4
ANNORA,3
ANNYA,3
ANORA,3
ANOUK,8
ANOUSHKA,21
ANSEL,7
ANSH,17
ANSHA,5
ANSHI,3
ANSHIKA,5
ANSI,5
ANSON,6
ANTALYA,3
ANTEK,3
ANTHONY,269
ANTHONY-JAMES,5
ANTHONY-JOHN,4
ANTHONY-JUNIOR,3
ANTIGONE,6
ANTIGONI,3
ANTOINE,7
ANTOINETTE,3
ANTON,44
ANTONELA,3
ANTONELLA,13
ANTONI,149
ANTONIA,180
ANTONIA-ELENA,5
ANTONIA-IOANA,4
ANTONIA-MARIA,5
ANTONINA,49
ANTONIO,113
ANTONIOS,5
ANTONY,29
ANUJ,6
ANUM,13
ANUOLUWA,3
ANUSHKA,13
ANVAY,4
ANVI,19
ANVIKA,8
ANVIT,7
ANWAAR,3
ANWAR,10
ANWEN,29
ANWITHA,3
ANYA,171
ANYAH,4
ANZAL,4
ANZISH,4
AODHAN,7
AOIBH,3
AOIBHE,5
AOIBHEANN,3
AOIBHIN,6
AOIBHINN,3
AOIFE,269
APHELIA,3
APHRA,13
APHRODITE,3
APOLLINE,7
APOLLO,33
APOLLONIA,4
APOLONIA,9
APPHIA,3
APRIL,185
APRIL-ROSE,6
APRYL,4
AQEEL,4
AQIB,11
AQSA,118
ARA,9
ARABELLA,1012
ARABELLA-GRACE,8
ARABELLA-MAE,9
ARABELLA-ROSE,35
ARABELLE,13
ARAD,7
ARADHYA,6
ARAF,9
ARAFAH,4
ARAFAT,9
ARAIA,4
ARAIYA,7
ARAIYAH,5
ARAM,10
ARAMINTA,7
ARAMIS,7
ARAN,29
ARAOLUWA,12
ARAOLUWANIMI,3
ARAS,41
ARASH,8
ARAV,6
ARAYA,42
ARAYAH,20
ARAZ,10
ARBAAZ,3
ARBER,9
ARBIE,6
ARBOR,6
ARCHER,308
ARCHI,4
ARCHIBALD,86
ARCHIBOLD,3
ARCHIE,2928
ARCHIE-DANIEL,3
ARCHIE-JAMES,20
ARCHIE-JAY,7
ARCHIE-JOHN,3
ARCHIE-LEE,18
ARCHIE-RAY,6
ARCHIT,4
ARCHY,4
ARDA,7
ARDAAS,3
ARDEN,39
ARDIE,3
AREEB,7
AREEBA,14
AREEBAH,3
AREEJ,7
AREEN,10
AREEQA,3
AREES,3
AREESHA,18
AREEZ,7
AREL,10
ARELLA,5
AREN,38
ARES,43
AREYA,15
ARFA,20
ARFAN,3
ARHA,6
ARHAAM,6
ARHAAN,18
ARHAM,128
ARHAN,7
ARHUM,6
ARI,173
ARIA,1207
ARIA-GRACE,5
ARIA-JADE,3
ARIA-JAYNE,4
ARIA-LOUISE,4
ARIA-MAE,8
ARIA-MAI,3
ARIA-RAE,10
ARIA-ROSE,47
ARIAAN,3
ARIADNA,7
ARIADNE,34
ARIADNI,4
ARIAH,68
ARIAM,12
ARIAN,41
ARIANA,354
ARIANA-ELENA,3
ARIANAH,5
ARIANE,3
ARIANNA,112
ARIANNA-MAE,3
ARIANNE,6
ARIANWEN,16
ARIB,4
ARIBA,5
ARIBELLA,9
ARIC,3
ARIE,15
ARIEL,61
ARIELA,12
ARIELE,4
ARIELLA,264
ARIELLA-GRACE,4
ARIELLA-MAE,6
ARIELLA-RAE,3
ARIELLA-ROSE,6
ARIELLE,87
ARIES,10
ARIF,10
ARIFA,4
ARIJA,6
ARIJUS,14
ARIK,4
ARIKA,4
ARIKE,3
ARILENA,3
ARIN,37
ARINA,16
ARINZE,6
ARIO,15
ARION,11
ARIS,62
ARISA,9
ARISH,13
ARISHA,40
ARISHFA,3
ARISSA,26
ARISTA,3
ARISTON,5
ARISTOTELIS,5
ARIUS,4
ARIYA,113
ARIYA-ROSE,3
ARIYAH,78
ARIYAN,37
ARIYANA,10
ARIZ,13
ARIZONA,12
ARJAN,62
ARJEN,3
ARJUN,137
ARJUNA,6
ARJUNAN,3
ARKAN,6
ARLA,140
ARLA-MAE,6
ARLA-RAE,8
ARLA-ROSE,16
ARLAH,6
ARLAN,5
ARLANDRIA,5
ARLEE,4
ARLEEN,5
ARLEN,57
ARLETTE,4
ARLEY,53
ARLI,5
ARLIA,19
ARLIAH,4
ARLIE,43
ARLIN,3
ARLIND,4
ARLIS,4
ARLIYAH,6
ARLO,2170
ARLO-GRAY,5
ARLO-JAI,3
ARLO-JAMES,35
ARLO-JAX,6
ARLO-JAY,14
ARLO-JOHN,7
ARLO-LEE,5
ARLOW,9
ARLOWE,9
ARLY,3
ARMAAN,69
ARMAN,34
ARMAND,7
ARMANDAS,4
ARMANDO,4
ARMANI,31
ARMIN,21
ARNA,8
