name,population
THEODORE,3505
THERESE,1149
THOMAS,29456
TIANA,608
TIFFANY,1187
TIMOTHY,20686
TINA,1743
TOBY,2311
TODD,3833
TOMMY,185
TONI,1873
TONY,4152
TORI,355
TRACEY,8556
TRACY,4881
TRAVIS,378
TRENT,3499
TREVOR,5289
TRISTAN,1320
TROY,6646
TYLER,5504
TYSON,476
UNNAMED,721
VALENTINA,463
VALERIE,161
VANESSA,7090
VICKI,7608
VICTOR,314
VICTORIA,4686
VINCENT,922
VIOLET,2485
VIRGINIA,675
WADE,293
WARREN,5135
WARWICK,885
WAYNE,15040
WENDY,9207
WESLEY,82
WILLIAM,32212
WILLOW,3561
XAVIER,4772
YVETTE,85
YVONNE,1419
ZAC,1843
ZACHARY,7481
ZAHRA,148
ZANE,606
ZARA,4131
ZAYN,284
ZOE,10322
ZOEY,166
